gender,number_of_followers,number_of_posts,average_likes,likes_to_followers
Female,46201,161,1974.3,4.27
male,6620,102,1263.37,19.08
Male,25497,227,914.2,3.59
Male,12686,618,810.17,6.39
female,8139,837,971.53,11.94
Female,22734,1106,967.93,4.26
Female,22023,789,267.37,1.21
,6285,552,294,4.68
Female,36535,2107,409.07,1.12
Female,14026,165,1045.4,7.45
Female,26384,1017,404.67,1.53
Female,13674,1468,313.3,2.29
,14759,185,372.47,2.52
female,10085,210,1406.1,13.94
,6820,243,221.77,3.25
Male,120193,84,5078.83,4.23
,11550,1647,161.03,1.39
Female,13185,199,29.07,0.22
Male,20101,563,102.2,0.51
,11378,105,23.33,0.21
,50765,940,1942.3,3.83
Female,17666,766,705.33,3.99
Female,72796,89,3594.47,4.94
Male,42025,1051,3708.47,8.82
,10743,143,552.93,5.15
Male,42256,385,1381.17,3.27
male,1317942,1790,133915,10.16
,15827,2218,69.97,0.44
Female,114970,334,4193.6,3.65
Male,28978,1543,601.37,2.08
Male,47119,454,1055.1,2.24
,126379,540,5904.77,4.67
,21653,611,939.17,4.34
Female,147466,2187,3351.27,2.27
Male,14030,1693,286.17,2.04
Male,77738,1414,3352.83,4.31
Male,22240,367,1555.13,6.99
,48033,339,1787.03,3.72
female,5347,496,162.6,3.04
,887677,1882,39606.8,4.46
Female,50663,450,1808.83,3.57
Male,20899,22,2338.23,11.19
,11011,1344,1342.43,12.19
Female,124670,3193,3744.43,3
Female,27972,810,202.27,0.72
,12270,658,382.07,3.11
Female,15007,285,749.07,4.99
Male,27975,356,528.2,1.89
,11715,434,465.63,3.97
,69538,61,5334.4,7.67
Male,83114,6307,292.27,0.35
,9592,40,422.07,4.4
Male,53498,110,666,1.24
,4824,12,456.83,9.47
Male,220070,609,14339.57,6.52
Male,198877,1239,4585.6,2.31
,13760,1544,399.8,2.91
female,7907,1319,151.03,1.91
male,40925,1557,350.87,0.86
,37263,873,217.6,0.58
Female,67015,5057,371.2,0.55
,7652,569,90.17,1.18
,45933,763,1508.1,3.28
Male,123072,1063,5369.13,4.36
,16149,981,52.13,0.32
,38393,165,1138.03,2.96
,8761,10,341,3.89
Male,25454,358,1001.43,3.93
,51469,854,1076.77,2.09
Male,17425,7237,22,0.13
Female,17578,3315,279.9,1.59
,14790,477,906.13,6.13
,61831,520,2613.43,4.23
male,12148,382,244.67,2.01
male,23000,106,373.97,1.63
,25222,125,786.43,3.12
Female,73549,1831,3436.83,4.67
,15758,224,550.33,3.49
,11929,602,227.63,1.91
,123028,1692,1756.7,1.43
,149934,3080,972.27,0.65
,24560,152,628.1,2.56
,38020,175,955.2,2.51
Female,96133,2347,513.23,0.53
,37711,1813,312.7,0.83
,56593,1698,490.07,0.87
,17007,103,631.3,3.71
,50761,2539,275.4,0.54
,75961,1953,388.53,0.51
,41292,344,485.67,1.18
,113329,3199,562.47,0.5
,41566,742,135.13,0.33
,102485,1477,1770.47,1.73
,51679,4,126,0.24
Male,74069,1403,2337.53,3.16
,24677,1134,535.5,2.17
Female,30121,438,158.2,0.53
Female,110686,1339,2291.2,2.07
Male,90064,340,2536.2,2.82
Female,30238,52,1781.17,5.89
male,7517,651,983.53,13.08
Male,15146,1481,385.23,2.54
,106433,16171,557.97,0.52
Female,18714,414,294.27,1.57
,13202,931,168.63,1.28
Male,20357,1148,702.9,3.45
,30266,1268,1327.03,4.38
male,11176,1379,220.37,1.97
female,14018,189,416.27,2.97
male,9738,227,454.23,4.66
Female,25495,236,1183.23,4.64
Female,17953,3554,327.33,1.82
male,9834,48,1745.73,17.75
Male,68728,581,551.23,0.8
Female,413382,293,1847.7,0.45
Female,29757,1217,597.7,2.01
Female,13916,4516,171.8,1.23
Female,21859,475,186.03,0.85
Female,24157,817,1942.6,8.04
Female,842707,366,3442.57,0.41
Female,9674,627,38.23,0.4
Female,16015,385,443.77,2.77
Female,10315,62,266.93,2.59
Female,10005,658,366.23,3.66
,22400,298,198.2,0.88
Female,18183,1374,1092.6,6.01
Male,135789,606,17764.57,13.08
,10697,484,961.93,8.99
,12402,610,82.6,0.67
,6204,141,166.37,2.68
Male,54502,464,279.43,0.51
,29405,318,187.6,0.64
,62868,8301,87.6,0.14
Female,11454,897,105.17,0.92
,10566,1649,186.17,1.76
,14586,1835,88.1,0.6
Male,39287,1031,721.83,1.84
Female,30796,356,156.7,0.51
Female,66684,394,1191.33,1.79
,7288,1260,14,0.19
Female,35733,1026,649.5,1.82
,12322,170,221.2,1.8
female,10141,845,939.23,9.26
,34243,269,656.4,1.92
,62154,1424,748.87,1.2
Female,25585,376,1440.63,5.63
Male,59553,645,2052.47,3.45
Female,31339,4107,136.17,0.43
,16192,2016,254.13,1.57
,9135,283,40.07,0.44
,15484,1131,105.8,0.68
Female,10407,3915,126.33,1.21
Male,28311,229,370.5,1.31
,70622,1497,1097.7,1.55
,23647,325,147.77,0.62
Male,84653,2721,313.53,0.37
,721707,3178,3420.83,0.47
,88760,2539,441.17,0.5
,436784,2967,1003.07,0.23
,198731,3042,1546.07,0.78
,50957,1624,590.83,1.16
Female,12381,940,275.73,2.23
Female,21268,536,507.87,2.39
,12687,843,217.43,1.71
Female,12133,31,80.33,0.66
Female,14813,692,748.17,5.05
male,7040,8253,72.07,1.02
Male,57480,1861,559.8,0.97
,10517,294,272.23,2.59
,12164,585,261.87,2.15
,109031,721,3226.13,2.96
,44828,1423,203.5,0.45
,34370,15,17.87,0.05
Female,10619,778,137.67,1.3
,5606,990,654.43,11.67
male,6246,191,236.67,3.79
,18686,308,790.2,4.23
,7868,985,77.47,0.98
,13560,142,130.53,0.96
,20046,61,1384.47,6.91
,12275,2486,96.17,0.78
,10271,3109,74.13,0.72
,22290,896,191.3,0.86
Female,55209,80,901,4.25
Female,150861,1431,11011.17,7.3
Male,47250,356,1868.83,3.96
Male,18040,556,621.3,3.44
Male,529732,5181,3465.73,0.65
Female,103557,896,9327.1,9.01
,15899,2614,778.27,4.9
,25528,1786,131.07,0.51
Female,27407,2176,440.4,1.61
,7641,69,348.47,4.56
,8341,41,205.77,2.47
Male,24081,543,776.47,3.22
,16421,1826,566.37,3.45
,185542,187,16728.5,9.02
,11093,607,24.37,0.22
Male,12121,13,272.85,2.25
Female,11598,247,270.87,2.34
Female,71252,36,808.8,1.14
,18764,1147,9.6,0.05
Female,37749,1181,1137.53,3.01
,15827,820,232.9,1.47
Male,83433,292,1286.73,1.54
,20557,1045,84.83,0.41
Female,17104,371,1566.43,9.16
Male,29875,138,235.9,0.79
Female,109696,162,2166.33,1.97
Female,20001,1017,384.43,1.92
Female,28368,169,1493.9,5.27
Female,13948,1039,224.2,1.61
,15305,1113,219.47,1.43
Female,108329,195,5699.4,5.26
Male,19084,101,414.2,2.17
,8173,743,1522.87,18.63
,9199,146,76.3,0.83
,448010,1381,10575.43,2.36
Male,122994,782,40.43,0.03
Male,22487,1315,30.57,0.14
,23248,559,35.47,0.15
Female,11776,182,99.33,0.84
,12261,1283,148.53,1.21
Female,10819,87,131.57,1.22
Male,111549,2671,5164.47,4.63
,12937,735,380.6,2.94
,13600,1417,247.9,1.82
Female,139797,481,6434.67,4.6
Female,14530,221,616.2,4.24
,77480,726,584.13,0.75
,10744,56,128.03,1.19
Male,61981,584,17.8,0.03
,10246,542,145.1,1.42
Female,70117,740,1493.23,2.13
Male,32798,673,483.25,1.47
,61105,957,147.97,0.24
Male,27571,355,2540.6,9.21
,9038,466,143.83,1.59
Male,30454,283,1227.43,4.03
Female,16607,1176,871.67,5.25
,67181,452,93,0.14
Female,153152,1268,3050.03,1.99
Female,122414,1645,2845.9,2.32
,11682,1690,189.03,1.62
,25504,1250,129.93,0.51
,,,,
Female,19648,408,478.3,2.43
Female,58885,1443,2825,4.8
Female,39102,2566,267.03,0.68
Female,20066,130,678.53,3.38
,10499,871,158.73,1.51
Female,15104,1297,969.33,6.42
,49083,41,199.03,0.41
Female,67852,576,5325.33,7.85
,69377,2363,841.4,1.21
Female,57387,1852,1160.43,2.02
Female,9424,95,340.53,3.61
Female,14602,1008,696.83,4.77
,30468,273,1108.67,3.64
,32140,469,897.77,2.79
female,12654,3434,307.7,2.43
Female,11175,80,375.13,3.36
,17048,546,577.17,3.39
Female,21892,169,168.27,0.77
Female,249700,847,12493.7,5
Female,39921,510,499.93,1.25
,16999,549,902.83,5.31
,14659,3495,254.23,1.73
,71179,736,635.43,0.89
,12453,123,379.77,3.05
female,22514,337,1159.8,5.15
Female,25284,1482,1406.77,5.56
,15323,105,55.27,0.36
,32503,114,747.2,2.3
,11155,267,47.47,0.43
Female,15250,94,137.83,0.9
,8854,169,26.3,0.3
,11313,324,243.33,2.15
,19936,496,518.2,2.6
,10848,282,121.17,1.12
,9140,290,26.07,0.29
Female,20318,1660,424.13,2.09
,12023,63,27.53,0.23
,21080,880,52.57,0.25
,9127,32,1931.93,21.17
,49894,696,776.2,1.56
,27811,59,58.5,0.21
female,27098,106,1291.53,4.77
,12610,487,45.2,0.36
,11013,3591,6.87,0.06
,16790,657,125.7,0.75
,20361,2190,56.4,0.28
,62317,1368,330.23,0.53
,252677,1129,1650.93,0.65
,282276,2726,949.17,0.34
,32867,6043,186.43,0.57
,11198,1191,196.43,1.75
,258559,970,2515.57,0.97
,96101,921,1392.6,1.45
Male,30739,4110,208.47,0.68
,10374,971,14.33,0.14
,54075,367,1965,3.63
,13534,1017,388.07,2.87
,16245,844,573.17,3.53
,16108,6,278,1.73
,19357,652,356.9,1.84
,19424,2199,316.33,1.63
,21198,1827,424.93,2
,18498,1607,472.83,2.56
,12664,42,100.47,0.79
Male,14739,256,139.1,0.94
,41541,5030,45.23,0.11
,15722,955,90.67,0.58
,80744,2021,988.03,1.22
,232866,1615,1924.9,0.83
Male,13182,1033,121.43,0.92
Male,38032,33,1288.3,3.39
,51383,1501,638.4,1.24
Female,252593,354,4106.67,1.63
,14110,475,332,2.2
Male,11459,908,55.03,0.48
,9386,1169,20.77,0.22
male,1364506,280,33927.93,2.49
Male,809207,3126,2952,0.36
Male,255814,89,1021.13,0.4
Female,12732,621,641.1,5.04
Female,105542,7035,536.83,0.51
Male,22933,126,1645.83,7.18
Female,10496,27,514.11,4.9
,5956,565,884.97,14.86
,10345,820,226.87,2.19
Female,15922,438,107.7,0.68
,9414,370,50.93,0.54
,20008,380,66.17,0.33
,11260,574,214.6,1.91
,239545,3305,1475,0.62
,31496,525,820.07,2.6
,11630,922,191.87,1.65
,46858,1879,650,1.39
,14022,12,76.58,0.55
,9488,575,227.63,2.4
,17035,666,507.07,2.98
Male,30903,201,2031.83,6.57
Male,23915,1915,216.4,0.9
Male,12891,507,413.13,3.2
,214011,1224,1721.87,0.8
Male,351983,5980,4788.3,1.36
,60505,1444,384.6,0.64
,203557,9348,83.33,0.04
,23421,10,501.8,2.14
Male,28993,2234,499.67,1.72
Male,373567,582,22480.17,6.02
Male,10167,914,353.83,3.48
Male,14989,926,598.33,3.99
,10819,1427,665.73,6.15
Male,25984,972,270,1.04
Male,8698,125,125,1.44
Male,42415,409,4153.53,9.79
,38440,1397,617.23,1.61
male,7836,587,662.3,8.45
Male,25593,2714,562.8,2.2
Male,47935,340,251.13,0.52
Male,24736,374,218.5,0.88
Male,14198,436,128.97,0.91
male,8534,330,265.27,3.11
male,5865,96,104.3,1.78
Male,390161,1684,15095.03,3.87
Male,14509,559,753.67,5.19
Male,28151,1299,1260.03,4.48
Male,25711,243,1146.9,4.46
Male,93178,193,6052,6.5
Male,33658,352,823.37,2.45
,217075,1452,5343.17,2.46
Male,10629,1819,183.1,1.72
Male,13646,155,126.7,0.93
Male,19194,184,287.3,1.5
Male,21447,1673,761.63,3.55
,30838,570,501.43,1.63
,11170,43,470.33,4.21
male,10917,88,622.87,5.71
Female,35964,350,1178.4,3.28
,899503,559,12624.83,1.4
female,32134,945,1511.23,4.7
Female,76216,550,1638.1,2.15
Female,171895,1305,10754.63,6.26
Female,32207,785,1595.67,4.95
Female,28187,1284,1652.07,5.86
Female,222180,71,12221.07,5.5
,84263,301,5375.47,6.38
Male,76131,123,6908.57,9.07
Male,255238,152,18200.6,7.13
Male,11716,53,313.27,2.67
Male,9572,52,896.03,9.36
,11099,18,856.33,7.72
Male,20887,941,225.77,1.08
Male,25187,853,759.8,3.02
Male,13010,546,759.07,5.83
Male,48863,194,363.4,0.74
Female,22059,357,356.2,1.61
Female,66676,1677,1826,2.74
Female,16193,456,673.2,4.16
Female,12977,599,469.8,3.62
Male,19111,7469,1088.7,5.7
,61637,2295,1236,2.01
,11445,1375,103.63,0.91
,7909,1134,219.33,2.77
,40049,3692,300.87,0.75
,17566,665,288,1.64
,51876,3130,502.43,0.97
,13178,140,216.03,1.64
Male,11914,2885,79.5,0.67
Male,17555,680,377.73,2.15
,10286,702,134.33,1.31
Male,30786,720,540,1.75
Female,19577,180,420.7,2.15
,70361,2146,831.67,1.18
Male,20224,2940,193.37,0.96
Female,15167,674,332.57,2.19
,19303,668,361.93,1.87
,13511,326,250.43,1.85
Male,14870,101,323.7,2.18
Female,72987,181,1965.77,2.69
,30251,443,1132.03,3.74
Male,10530,4035,350.57,3.33
,9719,221,744.63,7.66
Female,9002,947,530.03,5.89
Male,17340,459,210.63,1.21
,42332,2758,727.33,1.72
,14338,1012,115.77,0.81
,5711,484,323.8,5.67
,26131,404,535.23,2.05
,6287,117,57.17,0.91
Male,44278,525,1128.43,2.55
,15154,154,515.27,3.4
Female,15025,820,154.07,1.03
Female,43179,1174,480.27,1.11
Female,19435,1189,653.7,3.36
Female,19871,1424,209.6,1.05
Female,16183,786,349.67,2.16
,9200,30,402.43,4.37
Female,15464,26,761.04,4.92
Female,34197,544,1315.8,3.85
female,7114,426,805.03,11.32
Female,15507,265,270.63,1.75
Female,17548,2217,15.43,0.09
,36931,1856,1012.3,2.74
Female,16154,1320,587.7,3.64
Female,281364,1364,13804.7,4.91
Female,103126,70,1699.77,1.65
Female,483186,38,3497.55,0.72
Female,28218,76,531.57,1.88
Female,141890,18,7519.89,5.3
Female,8922,335,136.7,1.53
,10783,39,536.7,4.98
Male,10566,79,62.8,0.59
Female,16409,581,46.17,0.28
female,10706,619,496.93,4.64
Female,1805814,1863,9545.43,0.53
Female,102365,2523,191.73,0.19
Female,42731,494,3590.77,8.4
Female,12209,1279,222.2,1.82
Female,12477,391,1192.67,9.56
Female,26484,240,315.77,1.19
Female,235736,706,4590.23,1.95
,16580,1156,1159.93,7
Female,21639,174,460.03,2.13
,13745,202,121.13,0.88
,13191,1045,121.17,0.92
,12501,196,221.7,1.77
Female,125953,530,1468.43,1.17
Female,45228,10748,1613.97,3.57
Male,11569,103,694.9,6.01
Male,43123,195,4358.93,10.11
Female,18305,258,684.93,3.74
Female,19889,602,522.37,2.63
Female,14218,80,755,6.45
,16789,273,6.6,0.04
,20121,176,826.97,4.11
female,6617,31,324.23,4.9
Female,9957,538,99.1,1
Female,240940,146,3910.2,1.62
Female,121162,702,2467.77,2.04
Female,18304,32,178,0.96
,15094,253,62.7,0.42
female,8280,1837,224,2.71
male,21017,136,290.37,1.38
Male,21202,123,3218.37,15.18
Male,18040,691,845.13,4.68
female,5365,123,311.03,5.8
,45263,1156,2399.17,5.3
Female,56959,523,577.47,1.01
Female,6961747,1259,32608.6,0.47
Male,28434,463,1359.1,4.78
female,6923,437,337.63,4.88
Female,11916,218,79.1,0.66
Female,28881,555,442.17,1.53
Female,15934,132,621.57,3.9
Male,37871,2388,3078.37,8.13
Female,190564,1125,8700,4.57
Female,37907,853,663.87,1.75
Female,132687,3068,4361.97,3.29
Female,10832,1074,206,1.9
Male,62483,142,1935.8,3.1
Female,55927,314,1112.73,1.99
Female,72363,939,1146.67,1.58
,150208,610,4794.93,3.19
,113143,227,8869.2,7.84
Male,11918,2934,375.57,3.15
Female,16466,41,1145.4,6.96
,114416,3076,1374.23,1.2
Female,201394,610,7159.63,3.56
,19348,44,2145.2,11.09
,96399,6323,407.93,0.42
Female,69501,1310,810.57,1.17
Female,35971,134,3437.83,9.56
Male,36327,2723,844.03,2.32
,6691,631,48.97,0.73
,68334,156,3268.83,4.78
Male,9659,479,17.47,0.18
Female,11707,579,405.27,3.46
,91238,186,604.83,0.66
Female,79867,400,4688.27,5.87
Male,16180,685,293.5,1.81
Female,43693,1146,851.87,1.95
Female,19975,1963,40.63,0.2
female,27566,932,728.17,2.64
Female,26897,2075,1003.47,3.73
Female,11887,253,276.93,2.33
Male,24983,1101,447.4,1.79
Male,19496,1223,363.3,1.86
,17170,42,128.37,0.75
Male,71207,768,107.23,0.15
Female,19079,6937,152.4,0.8
female,29975,957,481.33,1.61
Female,9892,6,2227.67,22.52
,17352,996,263.8,1.52
,7271,1757,168.33,2.32
Male,20879,756,339.37,1.63
,272584,506,9846,3.61
Female,17772,1829,669.2,3.77
Female,671349,517,44663.9,6.65
,58035,502,1394.47,2.4
Female,22308,2723,197.3,0.88
Male,41374,305,1807.87,4.37
,9598,176,936.97,9.76
,6906,94,119.77,1.73
Female,11681,1861,357.5,3.06
Male,32849,3590,834.93,2.54
,9507,179,42.4,0.45
Male,61935,250,209.6,0.34
male,13250,492,313.03,2.36
Male,50979,264,6396.7,12.55
Male,45286,328,1476,3.26
Female,10839,194,155.9,1.44
Male,17300,370,2406.07,13.91
Male,18851,1608,192.13,1.02
,39737,461,1347.17,3.39
,5771,379,1000.93,17.34
,14647,284,288.5,1.97
Female,21461,572,182.27,0.85
Female,100109,1911,3137.47,3.13
Female,23468,53,210.07,0.9
Female,17518,2161,359.93,2.05
,38557,1176,282.9,0.73
Male,52093,896,2055.83,3.95
Female,31902,1369,399.9,1.25
Male,58910,2476,1180,2
,23569,346,113.83,0.48
,12213,29,300.93,2.46
,10394,820,614.47,5.91
,17868,611,890.67,4.98
,15385,1158,237.67,1.54
,23449,73,357.8,1.53
Male,20175,397,449.43,2.23
Female,15064,1652,573.23,3.81
Male,12719,834,322.43,2.54
Female,19876,1936,413.2,2.08
Male,15999,52,2562.33,16.02
Female,12572,1765,361.47,2.88
female,12127,122,216.97,1.79
Male,13195,591,954.53,7.23
Female,131329,3184,5628.37,4.29
Female,24461,604,446.07,1.82
,11009,87,230.23,2.09
,13462,421,875.5,6.5
,24962,760,1178.73,4.72
Female,16798,404,1049.83,6.25
Female,173541,763,4736.4,2.73
Female,19476,935,1486.67,7.63
,9970,518,93.57,0.94
,12438,852,262.83,2.11
,25604,1305,152.17,0.59
Female,26412,960,3006.1,11.38
Female,48024,1304,944.57,1.97
Male,48849,2575,386.03,0.79
Female,10944,2818,30.53,0.28
Female,42614,820,2400.67,5.63
Female,20876,513,315.83,1.51
,24336,477,1760.3,7.23
Male,14818,3379,73.7,0.5
Female,13204,1262,285.17,2.16
Female,33929,2686,481.43,1.42
Female,52695,2128,1098.77,2.09
Male,18245,3739,64.8,0.36
Female,56160,1140,91.7,0.16
,34917,4929,522.27,1.5
Female,13372,629,289.2,2.16
,14891,1066,167.9,1.13
male,14873,1304,791.87,5.32
Male,52132,3584,1072.8,2.06
Female,46234,175,1027.33,2.22
,217060,9773,738.2,0.34
Female,17955,592,99.1,0.55
Male,23591,405,1758.87,7.46
Female,13977,4477,270.9,1.94
,288082,584,4151.97,1.44
,110846,23,2769.39,2.5
Female,18228,2344,317.97,1.74
,8419,341,106.97,1.27
,11855,77,1269.43,10.71
,24224,331,1046.83,4.32
Female,25753,473,745.07,2.89
Female,204017,566,17002.23,8.33
Female,20407,730,1146.47,5.62
Female,804328,800,13291.6,1.65
Male,20930,1566,1098.3,5.25
Female,54702,5591,447.23,0.82
Male,67668,7010,534.37,0.79
female,7784,1450,167.43,2.15
Male,36054,95,288.07,0.8
Female,32404,464,622.7,1.92
Female,425472,1339,24063.5,5.66
,20510,154,1390.2,6.78
,194845,2657,4341.97,2.23
,257056,2028,30204.03,11.75
Male,19993,100,80.17,0.4
Male,41437,345,447.93,1.08
Male,184585,200,11138.17,6.03
Male,34916,525,714.83,2.05
,9157,41,320.43,3.5
,119251,32,16228.17,13.61
Male,20771,452,115.8,0.56
,12748,988,626.07,4.91
Male,34399,1062,568.5,1.65
Male,155141,3053,3111.8,2.01
Male,30889,170,3630.23,11.75
Male,325687,1986,7672.3,2.36
Male,53750,202,1380.17,2.57
Female,46852,1001,890.77,1.9
,210520,5473,3709.77,1.76
,47564,647,2520.03,5.3
Male,14197,782,181.47,1.28
Male,39372,1705,555.1,1.41
,153661,2701,2851.53,1.86
Male,71106,907,2041.17,2.87
,122722,3483,1662.87,1.35
Female,28363,1332,428.67,1.51
,292429,1249,8362.47,2.86
Male,266894,2605,5288.93,1.98
Male,318492,2495,8115.9,2.55
,47818,402,687.23,1.44
,32711,63,572.3,1.75
Female,17034,2013,658.87,3.87
Male,38697,1967,799.53,2.07
,69725,52,1452.33,2.08
,29702,3326,294.3,0.99
,40717,40,2511.6,6.17
,6459,506,423.43,6.56
Female,19780,1111,286.1,1.45
Female,312061,1042,9262.8,2.97
,13678,88,2485.57,18.17
Female,32397,167,1284,3.96
Female,21749,338,131.97,0.61
Female,60345,1348,1211.5,2.01
Female,13010,104,529.9,4.07
Female,12329,50,731.47,5.93
Female,19601,328,703.5,3.59
Female,16493,218,225.87,1.37
Female,4208,91,546.27,12.98
,42563,146,2547.2,5.98
Female,195379,2189,11301.57,5.78
Female,11519,2920,210.2,1.82
Female,25641,1044,1199.73,4.68
Male,16498,252,494.2,3
,5979,285,566.57,9.48
,15657,1277,10.6,0.07
Female,12274,490,119.3,0.97
Female,87490,1044,3663.37,4.19
,12556,1921,271.23,2.16
Male,23079,1364,1377.83,5.97
,24058,1578,1669.4,6.94
,164951,2156,8638.1,5.24
,132280,1194,304.27,0.23
Female,17800,946,341.23,1.92
,6049,694,137.03,2.27
,31551,8744,126.73,0.4
Male,37625,1849,436.23,1.16
,34335,406,1898.43,5.53
Female,24272,30,823.37,3.39
,111114,8504,1698.9,1.53
Female,23849,195,754.27,3.16
Female,418335,1815,2696.43,0.64
Female,19740,33,36.2,0.18
,14486,586,855.2,5.9
Female,12613,552,237.37,1.88
,151827,3785,1734.27,1.14
,11530,1290,408.87,3.55
Male,10181,692,4.7,0.05
Male,39146,282,751.33,1.92
male,5994,52,282.37,4.71
Male,25344,258,60.33,0.24
,14702,73,2378.53,16.18
,20623,27,219.78,1.07
male,46544,99,549.53,1.18
,22512,659,80.5,0.36
,29791,632,822.53,2.76
,18028,1279,180.83,1
Male,41632,102,1192.53,2.86
Male,566941,622,24016.13,4.24
,35224,329,1250.5,3.55
Male,117137,264,7412.27,6.33
Male,20895,1640,704.1,3.37
,173718,1218,4262.23,2.45
Male,12802,499,35.93,0.28
,45932,3672,729.1,1.59
,5017,108,420.03,8.37
Male,33566,144,179.03,0.53
Male,21115,445,1057.2,5.01
,17063,282,113.57,0.67
Male,76904,1917,1821.9,2.37
Female,17806,187,1500.67,8.43
Male,18428,250,1213.67,6.59
Female,20501,1032,165.23,0.81
,101711,534,1424.97,1.4
,227830,129,11162.6,4.9
Female,14287,871,240.23,1.68
,195689,1395,1989,1.02
Female,1049827,952,9035.4,0.86
male,9800,1392,363.07,3.7
Female,28703,1826,312.4,1.09
Female,283758,1875,6955.97,2.45
Male,11495,328,179.57,1.56
Female,17039,2281,67.43,0.4
,35544,208,241.5,0.68
,7006,1444,336.3,4.8
Male,15150,1854,141.07,0.93
Female,19571,30,7.8,0.04
,60830,871,3523,5.79
Female,25451,2053,149.43,0.59
Male,15713,233,923.8,5.88
Male,24003,121,482.57,2.01
,219615,100,5310.53,2.42
,40580,345,1265.57,3.12
,360534,6340,3479,0.96
Female,41723,1757,272.1,0.65
Male,53894,83,3368.53,6.25
Female,34909,40,2202.9,6.31
,17371,577,490.57,2.82
Female,21165,756,161.3,0.76
female,15711,1742,258,1.64
Male,981597,526,1471.77,0.15
female,5679,11541,84.27,1.48
Female,245936,350,14328.3,5.83
female,8297,1140,154.37,1.86
Female,63194,1732,3658.17,5.79
Male,11270,1181,89.77,0.8
Male,18016,40,496.97,2.76
Male,49698,1018,1924.17,3.87
,8863,26,166.77,1.88
male,13405,127,443.3,3.31
,21398,419,587.9,2.75
,44589,896,2370.9,5.32
,10158,371,282.53,2.78
Female,14076,2381,109.13,0.78
Male,106974,1498,5618.5,5.25
Female,11405,1410,204.7,1.79
,14470,3,36.33,0.25
Male,22393,253,1005.43,4.49
,19481,3858,263.33,1.35
Male,11290,783,156.03,1.38
male,9140,90,96.83,1.06
Male,13570,905,225,1.66
,30954,920,306.23,0.99
Male,20204,590,1028.77,5.09
,26137,1622,59.53,0.23
,18659,221,828.2,4.44
,52290,3181,141.6,0.27
,66491,1224,337.07,0.51
,11131,562,57.63,0.52
,6370,163,344.43,5.41
,12380,1392,19.97,0.16
,22934,2031,214.67,0.94
,12815,895,360.27,2.81
Male,18426,695,348.33,1.89
,196095,3075,2879.13,1.47
,73892,48,8.5,0.01
,13080,198,420.03,3.21
,45964,2926,270.67,0.59
,10996,160,228.67,2.08
Male,159287,3689,401.57,0.25
Male,244598,849,5698.4,2.33
female,7193,117,1268.03,17.63
Male,124950,998,422.63,0.34
Female,23795,584,395.23,1.66
Female,89390,647,1583.07,1.77
,42705,235,619.8,1.45
,13313,12973,31.63,0.24
,74880,37,1195.8,1.6
,12489,2317,134.1,1.07
,98414,2654,135.17,0.14
Female,115787,452,2069.37,1.79
,31026,3075,231.67,0.75
male,5612,7,328.71,5.86
,64127,954,618.2,0.96
Male,14741,940,81.6,0.55
Female,23321,2830,348.8,1.5
,17398,185,424.8,2.44
Female,39861,6172,147.83,0.37
,14401,1021,156.17,1.08
Male,18479,1595,118.37,0.64
Male,71276,45,743.77,1.04
,146168,1441,1317.07,0.9
Male,11801,2363,286.23,2.43
Female,14150,549,81.03,0.57
Female,775086,3973,10647.23,1.37
Female,19166,1475,76.4,0.4
Male,14925,312,117.7,0.79
,32252,276,54.67,0.17
Male,153551,948,5492.57,3.58
,18324,586,239.9,1.31
,32206,1591,530.5,1.65
,16340,4336,619.03,3.79
Male,13146,698,201.7,1.53
,13959,480,18.13,0.13
Female,12474,1655,100.47,0.81
,13169,350,751.13,5.7
,48696,770,550.93,1.13
Male,29285,482,98.67,0.34
Male,16755,229,396.5,2.37
,11288,1131,68.3,0.61
,11026,20,106.9,0.97
Male,144501,13220,1327.5,0.92
,51318,341,452.03,0.88
Male,21999,2280,1134.4,5.16
Male,88849,830,1838.4,2.07
Male,144066,862,5319.8,3.69
,17429,133,839.5,4.82
,16101,20,400.65,2.49
,12118,260,182.07,1.5
,23093,414,517.73,2.24
Female,48973,102,1492.17,3.05
,13840,114,180,1.3
,957819,1407,14826.57,1.55
Male,68892,245,3925.2,5.7
Female,73466,5409,88.27,0.12
male,6559,424,205.8,3.14
Male,21130,97,1368.2,6.48
Female,29652,1561,860.13,2.9
Female,151604,1258,562,0.37
Female,17900,522,553.43,3.09
,23605,1915,545.6,2.31
Female,43159,51,2019.17,4.68
,9448,69,398.33,4.22
female,22427,32,786.07,3.51
Female,22427,1266,148.1,0.66
Female,18668,2111,321.3,1.72
Male,49100,1092,3338.97,6.8
Female,113295,1864,748.67,0.66
Female,425542,1829,2313.77,0.54
Male,425314,460,23253.47,5.47
Female,10511,56,1573.2,14.97
Female,17147,867,217.17,1.27
,23253,1306,496.13,2.13
,32869,74,849.07,2.58
Female,756412,5720,9441.1,1.25
Female,15386,240,566.13,3.68
Female,99721,1675,746.77,0.75
Male,18262,3444,243.13,1.33
Female,14424,1090,514.73,3.57
,16964,1476,52.37,0.31
,15877,2592,37.97,0.24
Male,8953,30,132.77,1.48
male,6440,147,172.97,2.69
,36738,395,101.77,0.28
,35839,41,336.23,0.94
Male,9564,193,738.17,7.72
Female,63126,2915,1051.07,1.67
Female,11584,92,315.7,2.73
,14646,322,350.2,2.39
Female,114472,862,1861.13,1.63
